Fecha;IPC_NG_base _2014;IPC_Nucleo_base_2014;Base monetaria (M0), saldos a fin de mes en millones de pesos;M2_Total_mill de pesos;M2_moneda_nacional;M2_moneda_extranjera;M3;M3_moneda_nacional;M3_moneda_extranjera;M3_Total;M3_total_pesos;M3_total_moneda_extranjera;Pases_Pasivos;Leliq_Notaliq;Lebac_Nobac_Legar_Lemin;TCN;emae_des;emae_orig
2003-06;25;;37675 ;47577;46338;1239;100458;96686;3772;100857;97063;3794;;;6528;3;;
2003-07;25;;38573 ;51536;50158;1378;103528;99343;4185;103930;99721;4209;;;8008;3;;
2003-08;25;;39813 ;54833;53327;1506;105839;101312;4528;106053;101524;4530;;;8269;3;;
2003-09;25;;40478 ;54996;53374;1622;107127;102364;4762;107336;102573;4763;;;8662;3;;
2003-10;25;;42946 ;58905;57230;1675;110729;105798;4931;110954;106022;4932;;;9428;3;;
2003-11;25;;44157 ;61687;59791;1896;113785;108047;5738;114014;108273;5740;;;9857;3;;
2003-12;25;;46391 ;65503;63633;1870;116830;110945;5885;117058;111171;5887;;;10260;3;;
2004-01;25;;46993 ;67944;66006;1938;119726;113596;6130;119974;113841;6133;;;11299;3;98;93
2004-02;25;;46893 ;69608;67546;2062;120883;114613;6269;121099;114827;6272;;;11920;3;98;90
2004-03;25;;45633 ;70414;68027;2386;120781;114257;6524;121039;114512;6527;;;12387;3;98;102
2004-04;26;;47064 ;73074;70500;2574;123897;116848;7049;124199;117147;7052;;;13093;3;96;103
2004-05;26;;47650 ;77095;72987;4107;128685;119425;9259;128944;119682;9262;210;;13477;3;97;110
2004-06;26;;48627 ;81093;75788;5306;133897;123354;10543;134171;123621;10549;944;;13751;3;99;106
2004-07;26;;47062 ;83500;77669;5831;136036;124910;11127;136492;125359;11133;3603;;13999;3;101;101
2004-08;26;;47407 ;84095;78021;6075;137087;125635;11452;137344;125885;11459;3922;;13633;3;102;98
2004-09;27;;47534 ;83054;77257;5796;137902;126601;11301;138185;126879;11307;3990;;13941;3;102;98
2004-10;27;;45890 ;83911;78101;5810;139443;127903;11540;139805;128260;11545;6331;;14180;3;103;98
2004-11;27;;48675 ;86372;80591;5782;142775;131241;11534;143052;131510;11542;5402;;14330;3;104;100
2004-12;27;;52477 ;91931;85952;5979;147498;135649;11849;147793;135937;11856;5321;;14832;3;103;102
2005-01;27;;49363 ;90293;84593;5699;148674;137056;11618;148970;137345;11625;8519;;15542;3;106;98
2005-02;27;;49664 ;90761;83602;7159;150156;137075;13081;150450;137363;13088;7063;;16306;3;106;96
2005-03;28;;50203 ;88234;84276;3958;148666;138711;9954;149104;139142;9961;4743;;17407;3;107;111
2005-04;28;;49845 ;91837;86173;5663;153274;141614;11660;153626;141958;11668;6331;;17990;3;108;117
2005-05;28;;52142 ;93242;88722;4520;156034;145187;10847;156381;145526;10855;5613;;19096;3;109;127
2005-06;28;;51424 ;95639;91252;4387;158516;147678;10838;159109;148266;10843;6679;;23189;3;108;117
2005-07;29;;54392 ;98210;93854;4356;161514;150627;10887;162166;151273;10893;5427;;24135;3;109;108
2005-08;29;;55529 ;97831;93243;4588;163019;151535;11484;163668;152177;11491;7018;;24706;3;109;106
2005-09;29;;52643 ;98563;94116;4448;164959;153483;11477;165548;154064;11485;7226;;26906;3;109;105
2005-10;29;;55910 ;101975;97364;4612;168320;156651;11669;169043;157365;11677;4505;;26894;3;110;104
2005-11;30;;55891 ;104281;99585;4696;169948;158143;11805;170597;158781;11816;4994;;25686;3;111;108
2005-12;30;;54710 ;112200;107269;4932;177180;164835;12345;177765;165400;12364;7475;;26347;3;113;111
2006-01;30;;59789 ;111869;106826;5043;178742;166001;12741;179488;166716;12771;4372;;25200;3;114;107
2006-02;31;;57264 ;111752;106160;5592;179592;166168;13424;180345;166893;13451;5326;;26479;3;115;104
2006-03;31;;59091 ;111199;104976;6223;181311;167086;14224;182255;168003;14252;3201;;28064;3;114;119
2006-04;31;;60535 ;113225;106960;6265;184519;170042;14477;185430;170925;14505;4486;;29141;3;116;122
2006-05;32;;60197 ;117225;110520;6705;189967;174641;15325;191114;175758;15355;7230;;30443;3;115;133
2006-06;32;;63564 ;119399;112584;6816;195202;179438;15764;196265;180471;15795;5635;;32259;3;116;124
2006-07;32;;64693 ;120749;113760;6989;199090;182912;16178;200246;184037;16209;6145;;34514;3;118;117
